"Condition","Group","Organ","Query","Celltype","predicted_cell_type","match","explanation"
"Group","Mammary","ReproductiveEndocrine","query","vein endothelial cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
"Organ","Mammary","ReproductiveEndocrine","noquery","vein endothelial cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
"Organ","Mammary","ReproductiveEndocrine","query","vein endothelial cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
"All","Mammary","ReproductiveEndocrine","noquery","basal cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
"All","Mammary","ReproductiveEndocrine","query","basal cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
"Group","Mammary","ReproductiveEndocrine","noquery","basal cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
"Group","Mammary","ReproductiveEndocrine","query","basal cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
"Organ","Mammary","ReproductiveEndocrine","noquery","basal cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
"Organ","Mammary","ReproductiveEndocrine","query","basal cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
"All","Mammary","ReproductiveEndocrine","noquery","plasma cell","Can't Identify","No Match","The prediction did not provide a specific cell type when one is known."
"All","Mammary","ReproductiveEndocrine","query","plasma cell","Can't Identify","No Match","The prediction did not provide a specific cell type when one is known."
"Group","Mammary","ReproductiveEndocrine","noquery","plasma cell","Plasma cell","Match","The predicted cell type matches the annotated cell type."
"Group","Mammary","ReproductiveEndocrine","query","plasma cell","Plasma cell","Match","The predicted cell type matches the annotated cell type."
"Organ","Mammary","ReproductiveEndocrine","noquery","plasma cell","B cell","Partial Match","Plasma cells are differentiated B cells, thus related but distinct types."
"Organ","Mammary","ReproductiveEndocrine","query","plasma cell","B cell","Partial Match","Plasma cells are differentiated B cells, thus related but distinct types."
"All","Mammary","ReproductiveEndocrine","noquery","endothelial cell of artery","Can't Identify","No Match","The prediction did not provide a specific cell type when one is known."
"All","Mammary","ReproductiveEndocrine","query","endothelial cell of artery","Can't Identify","No Match","The prediction did not provide a specific cell type when one is known."
"Group","Mammary","ReproductiveEndocrine","noquery","endothelial cell of artery","Can't Identify","No Match","The prediction did not provide a specific cell type when one is known."
"Group","Mammary","ReproductiveEndocrine","query","endothelial cell of artery","Can't Identify","No Match","The prediction did not provide a specific cell type when one is known."
"Organ","Mammary","ReproductiveEndocrine","noquery","endothelial cell of artery","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"Organ","Mammary","ReproductiveEndocrine","query","endothelial cell of artery","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"All","Mammary","ReproductiveEndocrine","noquery","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"All","Mammary","ReproductiveEndocrine","query","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"Group","Mammary","ReproductiveEndocrine","noquery","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"Group","Mammary","ReproductiveEndocrine","query","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"Organ","Mammary","ReproductiveEndocrine","noquery","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"Organ","Mammary","ReproductiveEndocrine","query","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"All","Eye","NeuralSensory","noquery","conjunctival epithelial cell","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"All","Eye","NeuralSensory","query","conjunctival epithelial cell","Can't Identify","No Match","The prediction doesn't provide any useful identification."
"Group","Eye","NeuralSensory","noquery","conjunctival epithelial cell","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"Group","Eye","NeuralSensory","query","conjunctival epithelial cell","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"Organ","Eye","NeuralSensory","noquery","conjunctival epithelial cell","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"Organ","Eye","NeuralSensory","query","conjunctival epithelial cell","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"All","Eye","NeuralSensory","noquery","monocyte","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"All","Eye","NeuralSensory","query","monocyte","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"Group","Eye","NeuralSensory","noquery","monocyte","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"Group","Eye","NeuralSensory","query","monocyte","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"Organ","Eye","NeuralSensory","noquery","monocyte","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"Organ","Eye","NeuralSensory","query","monocyte","Can't Identify","No Match","The prediction lacks sufficient specificity to match the actual cell type."
"All","Eye","NeuralSensory","noquery","microglial cell","Rod Photoreceptor","No Match","Microglial cells and rod photoreceptors are distinct types."
"All","Eye","NeuralSensory","query","microglial cell","Rod Photoreceptor","No Match","Microglial cells and rod photoreceptors are distinct types."
"Group","Eye","NeuralSensory","noquery","microglial cell","Can't Identify","No Match","Unable to predict a cell type related to microglial cells."
"Group","Eye","NeuralSensory","query","microglial cell","Can't Identify","No Match","Unable to predict a cell type related to microglial cells."
"Organ","Eye","NeuralSensory","noquery","microglial cell","Can't Identify","No Match","Unable to predict a cell type related to microglial cells."
"Organ","Eye","NeuralSensory","query","microglial cell","Can't Identify","No Match","Unable to predict a cell type related to microglial cells."
"All","Eye","NeuralSensory","noquery","eye photoreceptor cell","Photoreceptor Cells","Match","Both refer to photoreceptors, although phrased differently."
"All","Eye","NeuralSensory","query","eye photoreceptor cell","Photoreceptor Cells","Match","Both refer to photoreceptors, although phrased differently."
"Group","Eye","NeuralSensory","noquery","eye photoreceptor cell","Can't Identify","No Match","Unable to confirm eye photoreceptor cell identity."
"Group","Eye","NeuralSensory","query","eye photoreceptor cell","Can't Identify","No Match","Unable to confirm eye photoreceptor cell identity."
"Organ","Eye","NeuralSensory","noquery","eye photoreceptor cell","Can't Identify","No Match","The predicted type does not relate to the specific eye photoreceptor cell."
"Organ","Eye","NeuralSensory","query","eye photoreceptor cell","Can't Identify","No Match","The predicted type does not relate to the specific eye photoreceptor cell."
"All","Eye","NeuralSensory","noquery","muller cell","Can't Identify","No Match","The prediction cannot identify a cell type, whereas the actual type is known."
"All","Eye","NeuralSensory","query","muller cell","Can't Identify","No Match","The prediction cannot identify a cell type, whereas the actual type is known."
"Group","Eye","NeuralSensory","noquery","muller cell","Can't Identify","No Match","The prediction cannot identify a cell type, whereas the actual type is known."
"Group","Eye","NeuralSensory","query","muller cell","Can't Identify","No Match","The prediction cannot identify a cell type, whereas the actual type is known."
"Organ","Eye","NeuralSensory","noquery","muller cell","Can't Identify","No Match","The prediction cannot identify a cell type, whereas the actual type is known."
"Organ","Eye","NeuralSensory","query","muller cell","Can't Identify","No Match","The prediction cannot identify a cell type, whereas the actual type is known."
"All","Eye","NeuralSensory","noquery","fibroblast","Corneal Epithelial Cells","No Match","Fibroblasts are mesenchymal cells, distinct from epithelial cells."
